"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
751636;2026-02-10;"terça-feira";"20:00:00";"MT";174;343;"CONQUISTA DOESTE";"Animais na Pista";"Atropelamento de Animal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-14,814817;-59,322543;"SPRF-MT";"DEL04-MT";"UOP01-DEL04-MT"
751637;2026-02-11;"quarta-feira";"14:40:00";"GO";153;508;"APARECIDA DE GOIANIA";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta;Aclive";"Não";1;0;0;1;0;0;1;1;-16,775089;-49,237038;"SPRF-GO";"DEL01-GO";"UOP03-DEL01-GO"
751639;2026-02-11;"quarta-feira";"17:35:00";"RJ";101;462;"ANGRA DOS REIS";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Declive;Curva";"Não";2;0;1;0;1;0;1;1;-23,01970816;-44,21550751;"SPRF-RJ";"DEL03-RJ";"UOP03-DEL03-RJ"
751640;2026-02-11;"quarta-feira";"13:00:00";"ES";262;32;"DOMINGOS MARTINS";"Acumulo de óleo sobre o pavimento";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Curva";"Não";1;0;1;0;0;0;1;1;-20,37973448;-40,57886941;"SPRF-ES";"DEL01-ES";"UOP01-DEL01-ES"
751641;2026-02-11;"quarta-feira";"18:00:00";"RO";364;383,9;"OURO PRETO DO OESTE";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-10,715842;-62,250133;"SPRF-RO";"DEL02-RO";"UOP01-DEL02-RO"
751644;2026-02-11;"quarta-feira";"17:30:00";"BA";116;9;"VITORIA DA CONQUISTA";"Ausência de reação do condutor";"Colisão transversal";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";3;0;2;0;1;0;2;2;-14,85101496;-40,88300228;"SPRF-BA";"DEL08-BA";"UOP01-DEL08-BA"
751646;2026-02-11;"quarta-feira";"19:30:00";"GO";20;182;"SIMOLANDIA";"Pedestre cruzava a pista fora da faixa";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Sim";3;0;0;1;0;2;1;2;-14,4642694;-46,48040771;"SPRF-DF";"DEL02-DF";"UOP03-DEL02-DF"
751647;2026-02-11;"quarta-feira";"19:10:00";"MG";116;671,9;"MURIAE";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Reta;Interseção de Vias";"Sim";2;0;1;0;1;0;1;2;-21,12184475;-42,37983584;"SPRF-MG";"DEL07-MG";"UOP02-DEL07-MG"
751648;2026-02-11;"quarta-feira";"19:20:00";"CE";222;76,4;"SAO LUIS DO CURU";"Acessar a via sem observar a presença dos outros veículos";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Sim";2;1;0;0;1;0;0;2;-3,671219;-39,232972;"SPRF-CE";"DEL01-CE";"UOP03-DEL01-CE"
751649;2026-02-11;"quarta-feira";"19:15:00";"PI";316;5;"TERESINA";"Pedestre cruzava a pista fora da faixa";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";3;0;0;1;2;0;1;2;-5,142817;-42,779689;"SPRF-PI";"DEL01-PI";"UOP02-DEL01-PI"
751650;2026-02-11;"quarta-feira";"19:45:00";"SP";116;227;"GUARULHOS";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Não";3;0;1;0;2;0;1;2;-23,499435;-46,560507;"SPRF-SP";"DEL01-SP";"UOP01-DEL01-SP"
751651;2026-02-11;"quarta-feira";"13:55:00";"PI";343;8;"PARNAIBA";"Ausência de reação do condutor";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;0;0;2;0;0;2;-2,8999349;-41,7277801;"SPRF-PI";"DEL05-PI";"UOP01-DEL05-PI"
751652;2026-02-11;"quarta-feira";"19:45:00";"PR";277;318;"GUARAPUAVA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta;Declive";"Não";2;0;1;0;1;0;1;2;-25,336966;-51,215893;"SPRF-PR";"DEL08-PR";"UOP01-DEL08-PR"
751653;2026-02-11;"quarta-feira";"19:00:00";"MT";163;1049;"MATUPA";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Crescente";"Nublado";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;-10,0912085;-54,9176432;"SPRF-MT";"DEL06-MT";"UOP03-DEL06-MT"
751654;2026-02-11;"quarta-feira";"20:35:00";"RS";116;238;"NOVO HAMBURGO";"Ingestão de álcool pelo condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Reta";"Sim";3;0;1;0;2;0;1;2;-29,69267052;-51,14370553;"SPRF-RS";"DEL01-RS";"UOP02-DEL01-RS"
751655;2026-02-11;"quarta-feira";"18:25:00";"AP";210;104,9;"PORTO GRANDE";"Ultrapassagem Indevida";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;0,700717;-51,402884;"SPRF-AP";"DEL01-AP";"UOP01-DEL01-AP"
751656;2026-02-11;"quarta-feira";"19:45:00";"TO";153;352,5;"FORTALEZA DO TABOCAO";"Manobra de mudança de faixa";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Reta;Declive";"Não";5;0;2;0;3;0;2;3;-8,997983;-48,500817;"SPRF-TO";"DEL02-TO";"UOP02-DEL02-TO"
751658;2026-02-11;"quarta-feira";"20:00:00";"PR";277;655;"MATELANDIA";"Pedestre cruzava a pista fora da faixa";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Declive;Reta";"Não";2;0;0;1;1;0;1;2;-25,2152601;-53,9514826;"SPRF-PR";"DEL05-PR";"UOP02-DEL05-PR"
751659;2026-02-11;"quarta-feira";"18:45:00";"ES";101;392,3;"RIO NOVO DO SUL";"Ausência de reação do condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-20,86563364;-40,91438262;"SPRF-ES";"DEL03-ES";"UOP02-DEL03-ES"
